T Wed Jan 22 08:45:03 CET 2014
583 1.0623832 -0.61404634 0.23784542 -0.64100367 2.7975583 9.377269
601 0.9384128 -0.8615105 -0.049696922 -0.6702622 2.8534863 9.358353
620 0.2830714 -0.14884949 0.2406168 -0.66614366 2.9261234 9.33619
641 -0.15817702 0.36909914 2.0719976 -0.66542834 2.9636297 9.324403
660 0.1787759 -0.50733066 2.412057 -0.7150771 2.9973004 9.309955
679 0.58032155 -1.1816131 0.039277077 -0.7335504 3.0586672 9.288533
699 -0.036444247 -0.12703848 -2.1847477 -0.7105467 3.1150022 9.2715845
719 -0.7642901 0.5165763 -0.3896265 -0.69138455 3.1034567 9.276903
738 -1.0932598 0.53890157 2.1802292 -0.74548703 3.0428243 9.292786
758 -0.80556613 -0.1089437 1.8729172 -0.822491 3.020293 9.293639
778 -0.2460658 -0.36785626 -0.83872414 -0.807383 3.0493622 9.285468
798 0.17126286 -0.012188435 -2.525115 -0.7650249 3.057613 9.286341
817 0.44428328 -0.51734614 -1.175003 -0.7698947 3.0264695 9.296135
840 0.09782314 -0.2741897 0.46648216 -0.82566047 2.9940028 9.301861
858 -0.33530802 -0.1266079 0.98784447 -0.85221606 2.99965 9.297646
880 -0.48538202 0.05120492 0.1543026 -0.83621734 3.032527 9.288429
900 0.066140115 -0.17659855 -0.48993206 -0.8514383 3.0496407 9.281441
918 0.352679 -0.38864517 -0.19866085 -0.8889802 3.0509975 9.277473
942 0.40349168 -0.6108935 -0.117030144 -0.9014856 3.062556 9.272457
960 0.42162398 -0.38503575 -0.3411398 -0.8813107 3.0856953 9.266724
979 -0.21184552 -0.2968793 0.6162882 -0.91821766 3.0741532 9.266976
1003 -0.31261146 -0.6210115 2.7237368 -0.9898343 3.0535204 9.266425
1017 0.29801047 -1.0535631 1.282033 -1.0258478 3.083846 9.252455
1034 0.68514466 -0.17855072 -1.1307287 -1.0107561 3.1473608 9.232707
1054 -0.019715667 0.3602054 -1.4714499 -0.9954258 3.1640594 9.228663
1074 -0.42232597 0.007998943 1.0269976 -1.0525023 3.1140401 9.239339
1096 -0.22763002 -0.83861446 1.2588024 -1.1131229 3.0987408 9.237378
1115 -0.21138787 -0.5179229 -0.9296007 -1.1102115 3.141968 9.223115
1159 -0.6081295 0.21317482 -1.8025508 -1.0773885 3.1770148 9.214999
1163 -1.0314115 -0.21671605 0.62177086 -1.0946397 3.147219 9.2231865
